State,Full date enacted,Year enacted,Bill Number ,Type,Time frame,Link-Bill,Where enacted,Summary,Disclosure method,Penalties
Alabama,05/15/2024,2024,AL HB 172,Disclosure,90 days before,https://custom.statenet.com/public/resources.cgi?mode=show_text&id=ID:bill:AL2024000H172&verid=AL2024000H172_20240515_0_E&,Ala. Code § 17-5-16.1 ,"Requires materially deceptive media intended to harm the reputation and electoral prospects of a candidate published within 90 days before an election to include a disclaimer stating that it has been manipulated. If it was generated from existing media, it must include a citation directing a viewer to the unedited version. ","""This media has been manipulated by technical means and depicts speech or conduct that did not occur.""","Civil  

A person may seek injunctive relief to prohibit the publication of the materially deceptive media.  If an injunctive relief request is frivolous, a defendant may be awarded with attorney costs and fees. A plaintiff may be awarded attorney costs and fees if they are awarded permanent injunctive relief. 

Criminal

 First violations are a Class A misdemeanor. Second violations within five years of the first are a Class D felony. "
Arizona,05/29/2024,2024,AZ S 1359,Disclosure,90 days before,https://custom.statenet.com/public/resources.cgi?mode=show_text&id=ID:bill:AZ2024000S1359&verid=AZ2024000S1359_20240529_0_EF&,Ariz. Rev. Stat. Ann. §§ 1024 ,election communications; deepfakes; prohibition,A CLEAR AND CONSPICUOUS DISCLOSURE THAT CONVEYS TO A REASONABLE PERSON THAT THE MEDIA INCLUDES CONTENT GENERATED BY ARTIFICIAL INTELLIGENCE.,"Civil 

A person may seek preliminary and permanent declaratory relief. 
A person may be subject to a civil penalty for each day they distribute the media without a disclosure. "
California ,01/01/2024,2024,CA AB 2839,Disclosure,"120 days before, 60 days after",https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240AB2839,Cal. Election Code 20012,Updates CA law to 120 days before , “This ____ has been manipulated.”,"Civil   

A candidate, election official or viewer of the media may seek injunctive relief to prohibit the publication of the deceptive media.  
A candidate may seek general or special damages, including attorney's fees and costs.   "
Colorado,05/24/2024,2024,CO H 1147,Disclosure,90 days before ,https://custom.statenet.com/public/resources.cgi?mode=show_text&id=ID:bill:CO2024000H1147&verid=CO2024000H1147_20240524_0_E&,"Colo. Rev. Stat. §§ 1-45-111.5, 1-46-102 et seq.  ","Concerns the use of a deepfake in a communication related to a candidate for elective office, and, in connection therewith, requiring disclosure, providing for enforcement, and creating a private cause of action for candidates.","Font size no smaller than the largest font. For audio, read in clear manner. The metadata of the communication includes the disclosure statement and the tool used to make it and date and time it was made ","Civil  

A candidate may seek injunctive relief to prohibit the publication of the deepfake. 
A candidate may seek action for compensatory and punitive damages, along with attorney fees. 
A civil penalty of at least 10% of the amount paid to advertise or promote the deepfake. 
A civil penalty of at least $100 per violation if there were no payments for advertising or promotion.  "
Delaware,10/09/2024,2024,DE H 316,Disclosure,90 before days,https://custom.statenet.com/public/resources.cgi?id=ID:bill:DE2023000H316&ciq=ncsl15&client_md=7d9cdcd9abfb679e0a6e3e926b4fc5e7&mode=current_text,"Del. Code Ann. tit. 15, § 5145   ",Requires synthetic media published within 90 days of an election to include a disclaimer stating that it was altered or artificially generated.  ," ""This (image/video/audio) has been altered or artificially generated.""

","	
Civil 

The prevailing party may be awarded attorneys’ fees and costs.  
A candidate may seek injunctive relief to prohibit the publication of the synthetic media.  
A candidate may seek damages.  
Criminal 

A violation is a class B misdemeanor.  
A violation is a class A misdemeanor if done with the intent to cause violence or bodily harm, or is a second violation within five years of another violation. "
Florida,02/09/2024,2024,FL HB 919,Disclosure,None,https://custom.statenet.com/public/resources.cgi?mode=show_text&id=ID:bill:FL2024000S850&verid=FL2024000S850_20240209_0_S&,106.145 Fla. Stat ,"Defines the term generative artificial intelligence; requires that certain political advertisements, electioneering communications, or other miscellaneous advertisements include a specified disclaimer; provides for civil penalties; authorizes the filing of complaints regarding violations with the Florida Elections Commission.","""Created in whole or in part with the use of generative artificial intelligence (AI)."" 

","Criminal 

A person who fails to include the disclaimer is guilty of a misdemeanor of the first degree. "
Hawaii,07/03/2024,2024,HI S 2687,Disclosure,Start first working day of February in even-numbered years to the next general election,https://custom.statenet.com/public/resources.cgi?mode=show_text&id=ID:bill:HI2023000S2687&verid=HI2023000S2687_20240703_0_E&,"Hawaii Rev. Stat. §§ 11-303, 11-304","Requires materially deceptive media intended to harm a candidate published between the first business day of February through the general election to include a disclosure stating the appearance, speech or conduct depicted in the media did not actually occur. ",,"Civil 

A person depicted may seek general and special damages. 
A person may seek injunctive relief to prohibit the publication of the materially deceptive media. 
A court may issue a restraining order. 
A civil fine may be imposed of $1,000 per day for violating a court order. "
Idaho,03/25/2024,2024,ID H 664,Disclosure,None,https://custom.statenet.com/public/resources.cgi?mode=show_text&id=ID:bill:ID2024000H664&verid=ID2024000H664_20240325_0_EF&,Idaho Code 67-6628A,Requires synthetic media that deceptively represents a candidate to include a disclosure that the media has been manipulated. ,"""This (video/audio) has been manipulated"".

","Civil 

A candidate may seek injunctive relief to prohibit the publication of the synthetic media. 
A candidate may seek general or special damages, including attorney's fees and costs. "
Indiana,03/12/2024,2024,IN H 1133,Disclosure,None,https://custom.statenet.com/public/resources.cgi?mode=show_text&id=ID:bill:IN2024000H1133&verid=IN2024000H1133_20240312_0_EF&,Ind. Code § 3-9-8 ,Requires fabricated media intended to injure a candidate or influence the outcome of an election to include a disclaimer that the media has been digitally altered or artificially generated. ,"""Elements of this media have been digitally altered or artificially generated."".","Civil 

A candidate may seek injunctive relief to prohibit the publication of the fabricated media. 
A candidate may seek actual damages including court costs and attorney's fees. "
Kentucky,03/24/2025,2025,KY SB 4,Disclosure,45 days before,https://custom.statenet.com/public/resources.cgi?mode=show_text&id=ID:bill:KY2025000S4&verid=KY2025000S4_20250324_0_EF&,,Requires synthetic media published within 45 days before an election that includes a candidate to include a disclosure that it contains synthetic media. ,,"Civil 

A candidate may seek injunctive relief to prohibit the publication of the synthetic media. 
A candidate may seek attorney’s fees and costs. "
Michigan,01/01/2023,2023,MI HB 5141,Disclosure,90 days before,https://legislature.mi.gov/documents/2023-2024/publicact/htm/2023-PA-0263.htm,Mich. Comp. Laws §§ 169.247 ,Requires materially deceptive media intended to harm a candidate and deceive voters into voting for or against a candidate published within 90 days of an election to include a disclosure that the media has been manipulated. ,"""This communication was generated in whole or substantially by artificial intelligence.""","Civil 

A candidate may seek injunctive relief to prohibit the publication of the deceptive media. 
If the request for injunctive relief is frivolous, attorney fees and costs may be awarded to the defendant. 
Criminal 

First violation is punishable with a maximum of 90 days in prison and/or a fine of $500. 
Second violations within five years of the first are punishable with a maximum of five years in prison and/or a fine of $1,000. "
Minnesota,01/01/2023,2023,MN HB 1370,Prohibition,90 days before a nominating convention,https://www.revisor.mn.gov/bills/93/2023/0/HF/1370/versions/3/,Minn. Stat §609.771 ,Prohibits the publication of deepfake media intended to harm a candidate and without the consent of the depicted individual after the start of an absentee voting period or 90 days prior to a nominating convention. ,None,"Civil 

A person may seek injunctive relief to prohibit the publication of the deepfake. 
Criminal 

First violation is punishable with a maximum of 90 days in prison and/or a fine of $1,000. 
Second violation within five years of the first are punishable with a maximum of five years in prison and/or a fine of $10,000. 
Violations that result in violence or bodily harm are punishable with a maximum of one year in prison and/or a fine of $3,000. "
Mississippi,04/30/2024,2024,MS SB 2577,Disclosure,90 days before,https://custom.statenet.com/public/resources.cgi?mode=show_text&id=ID:bill:MS2024000S2577&verid=MS2024000S2577_20240430_0_E&,Miss. Code Ann. § 97-13-47 ,Requires digitizations done without the consent of the individual depicted and intended to injure a candidate or influence an election published within 90 days of an election to contain a disclosure stating that the conduct or speech depicted did not actually occur. ,Clear and prominent language displayed throughout the digitization that informs the viewer that the depicted individual did not engage in the depicted speech and/or conduct shall be a defense to prosecution,"Civil 

A person may seek injunctive relief to prohibit and take down the publication of the digitization. 
Criminal 

Violations with the intent to cause violence, or if a person has committed a violation in the past five years, is punishable with a maximum of five years in prison and/or a maximum fine of $10,000. 
All other violations are punishable with a maximum of one year in prison and/or a maximum fine of $5,000. "
Montana,05/08/2025,2025,MT SB 25,Disclosure,60 days before,https://bills.legmt.gov/#/laws/bill/2/LC0229?open_tab=bill,,Requires a deepfake published 60 days before an election intended to injure a candidate or party or deceive a voter to include a disclosure that the media was edited by AI.  ,"a disclaimer, in a manner that can be easily read or heard, that the content being broadcast or transmitted may be generated in whole or in part by using artificial intelligence and does may not accurately represent the speech or conduct of the depicted individual.","Civil  

A candidate or political party may seek injunctive relief to prohibit the publication of the deepfake.  

A candidate or political party may be awarded damages up to $10,000, in addition to fees and costs. 

First violations may result in civil penalties imposed by the commissioner of political practices or county attorney. 

Criminal 

Second violations punishable with a maximum of 6 months in jail and/or a fine of $500. 

Third violations punishable with a maximum of 2 years in prison and/or a fine of $5000. "
Nevada,06/03/2025,2025,NV AB 73,Disclosure,None,https://custom.statenet.com/public/resources.cgi?mode=show_text&id=ID:bill:NV2025000A73&verid=NV2025000A73_20250603_0_E&,,Requires synthetic media intended to influence the outcome of an election or solicit contributions to include a disclosure that it contains synthetic media.  ,,"Civil 

A candidate may seek injunctive relief to prohibit the publication of the synthetic media. "
New Hampshire,08/02/2024,2024,NH H 1596,Disclosure,90 days before,https://custom.statenet.com/public/resources.cgi?id=ID:bill:NH2023000H1596&cuiq=43be7cf3-16e0-5b2e-870e-2863d733beed&client_md=677ef66f-7a5e-5ea9-b22c-0bc4902ca338,N.H. Rev. Stat. Ann. § 664:14-c ,Requires an AI generated message published within 90 days of an election to include a disclosure stating it was manipulated or generated by AI. ,"""This __________ has been manipulated or generated by artificial intelligence technology and depicts speech or conduct that did not occur.""","Civil 

A candidate or election official may seek injunctive relief to prohibit the publication of a deepfake. 
A candidate or election official may seek general or special damages. 
A court may award attorney's fees and costs. "
New Mexico,03/05/2024,2024,NM HB 182,Disclosure,90 days before,https://custom.statenet.com/public/resources.cgi?mode=show_text&id=ID:bill:NM2024000H182&verid=NM2024000H182_20240305_0_EF&,"N.M. Stat. Ann. §§ 1-19-26.4, 1-19-26.8 ",Requires materially deceptive media intended to alter voting behaviors published within 90 days of an election to include a disclosure that the media has been manipulated. ,"""This ____ has been manipulated or generated by artificial intelligence""","Civil 

The state ethics commission may seek injunctive relief to prohibit the publication of the deceptive media. 
A civil penalty up to $1,000 for each violation not to exceed $20,000 total. "
New York,04/20/2024,2024,NY A 8808,Disclosure,None,https://custom.statenet.com/public/resources.cgi?mode=show_text&id=ID:bill:NY2023000A8808&verid=NY2023000A8808_20240420_0_CH&,N.Y. Election Law § 14-106 ,Requires political communications containing materially deceptive media to disclose that the media has been manipulated. ,"""This (image, video, or audio) has been manipulated""","Civil 

A candidate may seek court costs and attorneys' fees. 
A candidate may seek injunctive relief to prohibit the publication of the materially deceptive media. "
North Dakota,04/10/2025,2025,ND H 1167,Disclosure,None,https://custom.statenet.com/public/resources.cgi?mode=show_text&id=ID:bill:ND2025000H1167&verid=ND2025000H1167_20250410_0_E&,,Requires media created by artificial intelligence to include a disclosure that the media was generated by artificial intelligence.," ""THIS CONTENT GENERATED BY ARTIFICIAL INTELLIGENCE.",None found
Oregon,03/27/2024,2024,OR S 1571,Disclosure,None,https://custom.statenet.com/public/resources.cgi?mode=show_text&id=ID:bill:OR2024000S1571&verid=OR2024000S1571_20240327_0_EF&,Or. Rev. Stat. § 260.345 ,Requires campaign communications that contain synthetic media to include a disclosure stating that the media has been manipulated. ,the communication includes a statement that the synthetic media contained therein does not accurately represent a ballot issue or candidate,"Civil 

Any person may seek a restraining order, prohibition or injunction along with attorney fees. 
A penalty of no more than $10,000. "
Rhode Island,07/02/2025,2025,RI H 5872,Disclosure,90 days before,https://custom.statenet.com/public/resources.cgi?mode=show_text&id=ID:bill:RI2025000H5872&verid=RI2025000H5872_20250702_0_PLW&,R.I. Gen. Laws § 17-30-1 et seq. ,"Requires synthetic media published within 90 days of an election by a candidate, political action committee, party or entity making an independent expenditure to include a disclosure that it was manipulated or generated by AI.  ",disclosure stating that the image has been manipulated or generated by artificial intelligence.,"Civil 

A candidate may seek injunctive relief to prohibit the publication of the synthetic media.  
A candidate may seek general or special damages including attorney's fees and costs.  "
South Dakota,03/25/2025,2025,SD S 164,Disclosure,90 days before,https://custom.statenet.com/public/resources.cgi?mode=show_text&id=ID:bill:SD2025000S164&verid=SD2025000S164_20250325_0_E&,,Requires a deepfake published 90 days before an election intended to injure a candidate to include a disclosure that the media was manipulated or generated by AI. ,"""This (image/video/audio) has been manipulated or generated by artificial intelligence.""","Civil 

A candidate or depicted individual may seek injunctive relief to prohibit the publication of the deepfake. "
Tennessee,,2026,,Disclosure,120 days before ,,Tenn. Code Ann. § 2-19-120,"	
Requires deepfakes impersonating candidates to contain a disclosure stating the content did not actually occur. If the content depicts a candidate who is not an office holder or incumbent, the disclosure is only required 120 days before voting begins.",,"Civil

A depicted candidate may seek damages."
Texas,11/01/2019,2019,TX BS 751,Prohibition,30 days before,https://capitol.texas.gov/tlodocs/86R/billtext/pdf/SB00751F.pdf,Tex. Election Code Ann. § 255.004 ,Prohibits the publication of deepfake videos to harm a candidate or influence an election 30 days prior to an election. ,,"Criminal. Punishable with a class A misdemeanor which results in a maximum of 1 year in prison and/or a fine of $4,000. "
Utah,03/13/2024,2024,UT S 131,Disclosure,None,https://custom.statenet.com/public/resources.cgi?mode=show_text&id=ID:bill:UT2024000S131&verid=UT2024000S131_20240313_0_E&,Utah Code Ann. § 20A-11-1104 ,"Requires synthetic media intended to influence voting to contain a disclaimer that it was generated by AI. Requires the media to be embedded with tamper-evident digital content provenance that discloses the author, creator, and any other entities that subsequently altered the media and disclosure of the use of AI to create or edit the media. "," ""This ____ content generated by AI,""","Civil 

A civil penalty of up to $1,000 for each violation. "
Vermont,03/05/2026,2026, VT S 23,Disclosure,90 days before,https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiVlQyMDI1MDAwUzIzIn0.68xgORH6A82iq4HZGsVUfIQw-UvllSpXB8GbVGzehzQ/text,"Vt. Stat. Ann. tit. 35, § 2031 et seq.  ",Requires synthetic media 90 days before an election to include a disclaimer stating the media has been manipulated or generated by digital technology. ,“This media has been manipulated or generated by digital technology and depicts speech or conduct that did not occur.”,"Civil  

A depicted candidate may seek injunctive relief to prohibit the publication of the synthetic media. 
Criminal  

Intentional violations punishable by a fine no more than $1,000 
Violations intended to cause violence or bodily harm punishable by fines of no more than $5,000 
Second violations punishable by a fine of no more than $10,000 
Violations intended to cause violence or bodily harm and are a second violation are punishable by fines of no more than $15,000 "
Washington,04/13/2023,2023,WA SB 5152,Disclosure,None,https://lawfilesext.leg.wa.gov/biennium/2023-24/Pdf/Bills/Senate%20Passed%20Legislature/5152-S.PL.pdf?q=20251121122359,Wash. Rev. Code §42.62.020 ,Requires a disclosure on synthetic media used to depict a candidate. ,"""This (image/video/audio) has been manipulated""","Civil 

A candidate may seek injunctive relief to prohibit the publication of the synthetic media. 
A candidate may seek general or special damages, including attorney's fees and costs. "
Wisconsin,03/21/2024,2024,WI A 664,Disclosure,None,https://custom.statenet.com/public/resources.cgi?mode=show_text&id=ID:bill:WI2023000A664&verid=WI2023000A664_20240321_0_EF&,Wis. Stat. § 11.1303 ,Requires synthetic media intended to influence the outcome of an election to include a disclosure stating that the media was generated by AI. Those who comply with these requirements may still be subject to violations of publishing false representations of candidates or referendum under Wis. Stat. § 12.05. ," “Contains content generated by AI.” , "" “This video content generated by AI”""","Civil 

Forfeiture up to $1,000 for each violation. "