state,full_date_enacted,year_enacted,type,time_frame
Alabama,05/15/2024,2024,Disclosure,90 days before
Arizona,05/29/2024,2024,Disclosure,90 days before
California ,01/01/2024,2024,Disclosure,"120 days before, 60 days after"
Colorado,05/24/2024,2024,Disclosure,90 days before 
Delaware,10/09/2024,2024,Disclosure,90 before days
Florida,02/09/2024,2024,Disclosure,None
Hawaii,07/03/2024,2024,Disclosure,Start first working day of February in even-numbered years to the next general election
Idaho,03/25/2024,2024,Disclosure,None
Indiana,03/12/2024,2024,Disclosure,None
Kentucky,03/24/2025,2025,Disclosure,45 days before
Michigan,01/01/2023,2023,Disclosure,90 days before
Minnesota,01/01/2023,2023,Prohibition,90 days before a nominating convention
Mississippi,04/30/2024,2024,Disclosure,90 days before
Montana,05/08/2025,2025,Disclosure,60 days before
Nevada,06/03/2025,2025,Disclosure,None
New Hampshire,08/02/2024,2024,Disclosure,90 days before
New Mexico,03/05/2024,2024,Disclosure,90 days before
New York,04/20/2024,2024,Disclosure,None
North Dakota,04/10/2025,2025,Disclosure,None
Oregon,03/27/2024,2024,Disclosure,None
Rhode Island,07/02/2025,2025,Disclosure,90 days before
South Dakota,03/25/2025,2025,Disclosure,90 days before
Tennessee,01/01/2026,2026,Disclosure,120 days before 
Texas,11/01/2019,2019,Prohibition,30 days before
Utah,03/13/2024,2024,Disclosure,None
Vermont,03/05/2026,2026,Disclosure,90 days before
Washington,04/13/2023,2023,Disclosure,None
Wisconsin,03/21/2024,2024,Disclosure,None